title,address,num,reviews,rate
Gloria Go Pe Apartment Lessor,"1011 Apacible Street, Ermita, City of Manila, Metro Manila ","['+63 (2) 7 218 7771', '+63 (977) 803 0541', '+63 (2) 7 218 7771', '+63 (977) 803 0541']",[],0
Cherry Mae Cadayona (Independent Real Estate Broker),"Urban Deca Homes Condominium, Tipolo, Mandaue City, Cebu ","['+63 (32) 518 1485', '+63 (927) 461 1521', '+63 (32) 518 1485', '+63 (927) 461 1521']",[],0
Real Estate Buker/Marketing Group,"188 Dr. P.A. Narciso Sr., San Juan City, Metro Manila ","['+63 (2) 8 244 8722', '+63 (2) 8 244 8722']",[],0
Real Estate Brokers Association Of The Philippines,"2/F, Creba Building,  South A Street Corner A. Roces Street, Quezon City 1100 Metro Manila ","['+63 (2) 8 373 2281', '+63 (2) 8 373 2280', '+63 (2) 8 373 2281', '+63 (2) 8 373 2280']",[],0
Active Group,"12/F, ACT  Tower, 135 Sen. Gil Puyat Avenue, Salcedo Village, Makati City 1227 Metro Manila ","['+63 (2) 8 893 7024', '+63 (2) 8 817 7861', '+63 (2) 8 893 7028', '+63 (2) 8 817 7852', '+63 (2) 8 893 7024', '+63 (2) 8 817 7861', '+63 (2) 8 893 7028', '+63 (2) 8 817 7852']",[],0
Teresa Development,"Galo, Bacolod City, Negros Occidental ","['+63 (34) 434 5555', '+63 (34) 434 5555']",[],0
Brokers Circle,"Alphaland Southgate Mall, 2258 Chino Roces Avenue, Makati City 1200 Metro Manila ","['+63 (2) 8 331 7951', '+63 (2) 8 331 7951']",[],0
A. Rubiano,"B 12 L 13 Illionois Street Town, Country Southville, Carmona 4116 Cavite ","['+63 (2) 8 545 2581', '+63 (2) 8 545 2581']",[],0
Pointland Realty Services,"U805, Studio Two Bldg., Dotcom Drive, Nortgate Cyberzone, Filinvest Corporate City, Alabang, Muntinlupa City 1770 Metro Manila ","['+63 (2) 7 504 5888', '+63 (917) 853 5302', '+63 (2) 7 504 5888', '+63 (917) 853 5302']",[],0
Advent Realty,"15th & 16th Floor , TWENTY-FIVE SEVEN MCKINLEY BUILDING ., 7th Ave. , cor. 25th St, BGC, Fort Bonifacio, Taguig City 1630 Metro Manila ","['+63 (906) 485 0900', '+63 (906) 485 0900']",[],0
Luxury Manila,"Mayor Gil Fernando Avenue corner Dragon Street, San Roque, Marikina City, Metro Manila ","['+63 (2) 8 701 0765', '+63 (2) 8 701 0765']",[],0
Dexter B. Reolada,"Marcos H-way, Cainta, Rizal ","['+63 (920) 459 3022', '+63 (920) 459 3022']",[],0
Eb Loredo Realty,"6/F, Ebl, Dona Manuela Ave. Cor. Huner Street Pamplona , Las Pinas City, Metro Manila ","['+63 (2) 8 873 5949', '+63 (918) 922 7962', '+63 (2) 8 873 5949', '+63 (918) 922 7962']",[],0
"Gonzalo Gaw Hok, Incorporated","825, Reina Regente Street, Binondo, City of Manila 1000 Metro Manila ","['+63 (2) 8 244 2258', '+63 (2) 8 244 3210', '+63 (2) 8 244 2258', '+63 (2) 8 244 3210']",[],0
Landwealth Real Estate Brokerage,"Saint Francis Condominium Building, Quezon City 1100 Metro Manila ","['+63 (2) 8 912 4879', '+63 (2) 8 912 4879']",[],0
United Realty,"2127, Espana Boulevard, City of Manila, Metro Manila ","['+63 (2) 8 741 1932', '+63 (2) 8 741 1918', '+63 (2) 8 252 1279', '+63 (2) 8 831 8611', '+63 (2) 8 741 1932', '+63 (2) 8 741 1918', '+63 (2) 8 252 1279', '+63 (2) 8 831 8611']",[],0
Eisenberg And Company,"Concorde Condominium, 200 Benavidez Street, Legaspi Village, Makati City 1229 Metro Manila ","['+63 (2) 8 892 0901', '+63 (2) 8 892 0901']",[],0
Ames Realty Development ,"G/F, Torre De Salcedo Building, 184 Salcedo Street, Legaspi Village, Makati City 1229 Metro Manila ","['+63 (2) 8 818 6439', '+63 (2) 8 818 6252', '+63 (2) 8 818 6439', '+63 (2) 8 818 6252']",[],0
Tiong Lam Tong,"145, M Velez, Cebu City 6000 Cebu ","['+63 (32) 254 5111', '+63 (32) 254 5111']",[],0
Tombe Dev Corp,"117, Lacson, Bacolod City, Negros Occidental ","['+63 (34) 433 2232', '+63 (34) 433 2232']",[],0
Clark Asset Protection,"C P Garcia Clark, Angeles City 2009 Pampanga ","['+63 (45) 599 3699', '+63 (45) 599 3672', '+63 (45) 599 3699', '+63 (45) 599 3672']",[],0
Mar Jay Customs Brokerage,"Cavite Economin Zone Dr, Dasmarinas City 4114 Cavite ","['+63 (46) 437 6171', '+63 (46) 437 6868', '+63 (46) 437 6171', '+63 (46) 437 6868']",[],0
Asian Star Realty,"3rd Floor, S.D. Barbon Building,  Aguinaldo Highway, Tanzang Luma II, Imus City 4103 Cavite ","['+63 (46) 472 3123', '+63 (46) 875 1034', '+63 (2) 3 381 9775', '+63 (2) 3 490 5575', '+63 (910) 508 9058', '+63 (917) 825 6741', '+63 (922) 508 6221', '+63 (46) 472 3123', '+63 (46) 875 1034', '+63 (2) 3 381 9775', '+63 (2) 3 490 5575', '+63 (910) 508 9058', '+63 (917) 825 6741', '+63 (922) 508 6221']",[],0
Centerpoint Realty Corporation,"Metro South Av, Trece Martirez City 4109 Cavite ","['+63 (46) 419 2764', '+63 (46) 419 2764']",[],0
E V Diaz Brokerage,"Southwood Villas, Dasmarinas City 4114 Cavite ","['+63 (46) 416 1879', '+63 (46) 416 1879']",[],0
2go Group,"8/F, Tower 1, Double Dragon Plaza, Macapagal Boulevard corner EDSA Extension, Pasay City 1302 Metro Manila ","['+63 (2) 8 528 7000', '+63 (2) 8 528 7000']",[],0
Luxury Manila,"Mayor Gil Fernando Avenue corner Dragon Street, San Roque, Marikina City, Metro Manila ","['+63 (2) 8 701 0765', '+63 (2) 8 701 0765']",[],0
Dove Realty And Brokerage,"172 Junquera Street, Cebu City 6000 Cebu ","['+63 (32) 416 5937', '+63 (32) 416 5937']",[],0
Chabam Enterprises,"Jacinto Sy Building, 172 Junguera Extension C, Santa Cruz, Cebu City 6000 Cebu ","['+63 (32) 416 5937', '+63 (32) 416 5937']",[],0
Seahawk Transport,"Rm 206, Ledesma Building,  Real and General Luna Street, Intramuros, City of Manila 1002 Metro Manila ","['+63 (2) 8 522 5043', '+63 (2) 8 522 5042', '+63 (2) 8 522 5043', '+63 (2) 8 522 5042']",[],0
Lbs Land And Building Sales Specialist,"Unit 224, 2/F, Regalla Park Tower Condominium, No. 150, P. Tuazon Street, Barangay Socorro, Quezon City, Metro Manila ","['+63 (02) 8 912 7062', '+63 (02) 8 912 7062', '+63 (02) 8 912 7062', '+63 (02) 8 912 7027', '+63 (02) 8 912 7062', '+63 (02) 8 912 7062', '+63 (02) 8 912 7062', '+63 (02) 8 912 7027']",[],0
All Estate Realty & Brokerage,"45 Annapolis Street, Greenhills, San Juan City 1503 Metro Manila ","['+63 (2) 8 721 1269', '+63 (2) 8 721 8179', '+63 (2) 8 721 1721', '+63 (2) 8 721 1269', '+63 (2) 8 721 8179', '+63 (2) 8 721 1721']",[],0
Landworks Asia,"33/F, West Tower, Pse Building,  Exchange Road, Pasig City, Metro Manila ","['+63 (2) 8 631 6491', '+63 (2) 8 706 3339', '+63 (2) 8 667 3571', '+63 (2) 8 631 6491', '+63 (2) 8 706 3339', '+63 (2) 8 667 3571']",[],0
Dondon A. Domingo,"B70 L37 Marycris Complex, Gen. Trias City, Cavite ","['+63 (2) 8 357 1631', '+63 (917) 609 3615', '+63 (2) 8 357 1631', '+63 (917) 609 3615']",[],0
Ma. Fatima C. Domingo,"B70 L37 Marycris Complex, Gen. Trias City, Cavite ","['+63 (2) 8 357 1631', '+63 (929) 547 4533', '+63 (2) 8 357 1631', '+63 (929) 547 4533']",[],0
Renelita M. Escalante,"B2 L4 Metroville Subdivision, Alanpan 1-C, Imus City 4103 Cavite ","['+63 (46) 872 3812', '+63 (918) 944 3877', '+63 (46) 872 3812', '+63 (918) 944 3877']",[],0
Evelyn A. Espardinez,"28 Lukban Street, Imus City 4103 Cavite ","['+63 (46) 477 1713', '+63 (919) 694 6045', '+63 (46) 477 1713', '+63 (919) 694 6045']",[],0
Elpidio B. Fabellore,"B3 L13 Primahomes, Alanpan 1-C, Imus City 4103 Cavite ","['+63 (916) 396 7136', '+63 (46) 515 0429', '+63 (916) 396 7136', '+63 (46) 515 0429']",[],0
Ernesto L. Facundo,"B32 L8 Oakwood Street, Greensborough Subdivision, Dasmarinas City 4114 Cavite ","['+63 (927) 621 3249', '+63 (46) 484 2747', '+63 (927) 621 3249', '+63 (46) 484 2747']",[],0
Gaddi Realty,"B1 L9 Reginaville Classic , De Ocampo, Trece Martirez City 4109 Cavite ","['+63 (46) 864 7308', '+63 (920) 923 7931', '+63 (46) 864 0890', '+63 (46) 864 7308', '+63 (920) 923 7931', '+63 (46) 864 0890']",[],0
April Marie L. Gines,"70 J.P. Rizal Street, Silang 4118 Cavite ","['+63 (46) 511 0351', '+63 (919) 401 4742', '+63 (46) 511 0351', '+63 (919) 401 4742']",[],0
Paul Alexander A. Go,"130 Sol. P. Bella Street, Imus City 4103 Cavite ","['+63 (46) 472 2643', '+63 (915) 445 4939', '+63 (46) 472 2643', '+63 (915) 445 4939']",[],0
Luxury Manila,"Mayor Gil Fernando Avenue corner Dragon Street, San Roque, Marikina City, Metro Manila ","['+63 (2) 8 701 0765', '+63 (2) 8 701 0765']",[],0
Regino M. Gonzalez,"14 Hernadez Street, B. Pag Asa Subdivision, Bacoor City 4102 Cavite ","['+63 (918) 924 7966', '+63 (918) 924 7966']",[],0
Danilo M. Griarte,"B5 L16 Sarreal Village, Cavite City 4100 Cavite ","['+63 (921) 408 7802', '+63 (921) 408 7802']",[],0
Edmun E. Gumpay,"2/F, T. Decastro Building,  Aguinaldo Highway, Justinville Subdivision, Imus City 4103 Cavite ","['+63 (920) 411 9060', '+63 (46) 471 1726', '+63 (920) 411 9060', '+63 (46) 471 1726']",[],0
Reynaldo L. Hapa,"B L2-A Plaridel Subdivision, Bayan Luma Vii, Imus City 4103 Cavite ","['+63 (46) 472 0292', '+63 (917) 502 2861', '+63 (46) 472 0292', '+63 (917) 502 2861']",[],0
Ofelia P. Jabon,"8 Bonifacio Street, Bacoor City 4102 Cavite ","['+63 (46) 477 1373', '+63 (917) 887 8393', '+63 (46) 477 1373', '+63 (917) 887 8393']",[],0
